SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CODE,ZONE,DONG
90541,2,금사1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우(단시간 집중호우 발생)2. 지표수 및 노면수가 저지대로 일시 유입3. 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 공단로와 반송로의 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.3~1.0,0.0,20140825,20140825,1500,1900,7.5,2641000000,금정구,
90540,2,장전1/2/3/4/5지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우(단시간 집중호우 발생)2. 지표수 및 노면수가 저지대로 일시 유입3. 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중된 우수가 온천천 주변의 저지대로 유입되어 침수 발생,2641000000,201501.0,4.0,0.3~1.0,0.0,20140825,20140825,1500,1900,12.1~16.5,2641000000,금정구,
90551,2,삼성지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 하류와 해안이 접하는 지리적 특성으로 인한 수위 상승- 집중호우로 하천 수위 상승과 조수 만조가 겹쳐 하천 범람- 하천 수위 상승으로 내수배제 불량3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 4. 저지대 주거지를 중심으로 침수피해 발생,2671000000,201501.0,3.0,0.2~1.0,0.0,20140825,20140825,1500,1800,3.4,2671000000,기장군,
90547,2,좌천지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 집중호우로 인한 저수지 붕괴/ 2개 하천(덕선천/ 좌광천)의 합류지점 및 조수 만조로 인해 침수 피해 발생3. 피해지역은 최근 새로이 형성된 도시지역임,2671000000,201501.0,3.0,0.3~1.8,0.0,20140825,20140825,1500,1800,11.12,2671000000,기장군,
90561,2,온천2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중호우로 만수위가 된 온천천의 배수가 원활하지 못해 저지대에 침수발생,2626000000,201501.0,4.0,0.3~1.0,0.0,20140825,20140825,1500,1900,8.7,2626000000,동래구,
90563,2,온천4지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 내성교차로 일원의 저지대에 집수된 우수가 온천천으로 원활히 배수되지 못하여 침수 발생,2626000000,201501.0,4.0,0.2~1.0,0.0,20140825,20140825,1500,1900,8.2,2626000000,동래구,
90573,2,하단동지구,집중호우로 인한 침수,,2638000000,201501.0,3.0,0.2~0.8,0.0,20140825,20140825,1500,1800,2.65,2638000000,사하구,
90574,2,반송1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 석대천의 범람으로 하천수가 저지대로 유입되어 침수 발생,2635000000,201501.0,4.0,0.3~1.0,0.0,20140825,20140825,1500,1900,26.6,2635000000,해운대구,
90575,2,반송2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집중 호우로 인한 토사 및 우수가 저지대로 유입되어 침수 발생,2635000000,201501.0,4.0,0.2~0.8,0.0,20140825,20140825,1500,1900,22.8,2635000000,해운대구,
90519,2,연제1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 온천천 제방 한계 수위까지 물이 불어남.2. 하천 수위 상승으로 인한 내수배제 불량- 온천천 수위 상승으로 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201412.0,2.0,0.2m(최저)~0.4m(최고),0.0,20140825,20140825,1500,1700,EL. 6.1m,2647000000,연제구,
